baseline,horizon_frames,schedule_id,M0,M1,M2,M3,M4,macro_M0-M4,n_observed
chained_lap_rc,66,s2,0.7645996376847538,0.8067912212760859,0.7642176883162132,0.7559865563652505,0.7886751271978314,0.776054046168027,34
chained_lap_rc,66,s4,0.7345823644768443,0.7554937486863706,0.7029259935681367,0.7044714925371354,0.7172229219246647,0.7229393042386303,18
chained_lap_rc,66,s8,0.6743746467560346,0.6848944469355138,0.6256799568001891,0.6118879272846505,0.6037134344039783,0.6401100824360734,10
chained_lap_rc,66,s16,0.5711884373494376,0.602235236109428,0.5051458717562456,0.542168190616204,0.47731410754864523,0.5396103686759921,6
chained_lap_rc,66,s32,0.5129110782292611,0.559376256737156,0.46766703331404064,0.46501704291352214,0.4447365404130059,0.4899415903213972,4
chained_lap_rc,66,s64,0.5000649371681429,0.5289113088932439,0.46956091009659806,0.46133912985125886,0.5107421621714829,0.49412368963614534,3
chained_lap_rc,66,ends,0.4874742764825288,0.5266288334940306,0.46517344967659013,0.46020461420877085,0.5022288332501431,0.4883420014224127,2
chained_lap_rc,66,rand1,0.48805605601138563,0.5353325542368547,0.4572578953455407,0.47985508045871955,0.4719532067181669,0.48649095855413355,3
chained_lap_rc,66,rand3,0.513307803309154,0.5750927010785322,0.4896007544534796,0.5044091322533903,0.4593699484248373,0.5083560679038788,5
chained_lap_rc,132,s1,0.6964018812420955,0.7309584631486826,0.704767891940647,0.6630313247501496,0.6839392187397016,0.6958197559642553,133
chained_lap_rc,132,s2,0.6405704300058397,0.6944668946015791,0.6583528629508965,0.6310275762919851,0.67432324183118,0.6597482011362962,67
chained_lap_rc,132,s4,0.6029489224662884,0.646399320445056,0.5923990891732993,0.5760267218608235,0.5956934430046781,0.602693499390029,34
chained_lap_rc,132,s8,0.5471763551022542,0.5741967480821026,0.5084209379431215,0.49062281269693764,0.48372651055848476,0.5208286728765802,18
chained_lap_rc,132,s16,0.44078105689380676,0.5088803092282348,0.38889610098890515,0.415291084968694,0.34365150366901454,0.419500011149731,10
chained_lap_rc,132,s32,0.3595484465472556,0.4326877945700667,0.3457928624676752,0.3496719067856545,0.3233793670858116,0.3622160754912927,6
chained_lap_rc,132,s64,0.36956222729831517,0.37559500222491826,0.3479552772072295,0.3421472449927612,0.38877345734742663,0.36480664181413014,4
chained_lap_rc,132,s128,0.3609543780264806,0.3887079246725325,0.36794786668122687,0.3423488893265796,0.35898263489975624,0.36378833872131516,3
chained_lap_rc,132,ends,0.3550608501226614,0.3838935425825323,0.36974097702759073,0.3398672486927519,0.3559206445001845,0.36089665258514414,2
chained_lap_rc,132,rand1,0.34656716793676823,0.3863366532282676,0.36936042315857376,0.3331888789590517,0.3763817305989131,0.3623669707763149,3
chained_lap_rc,132,rand3,0.3691194127150063,0.43376973263495683,0.37409243302304507,0.35630215315140434,0.33266695476011676,0.37319013725690586,5
chained_nearest,33,s1,0.8781521958965123,0.8924633469034197,0.8761737846659038,0.8833583602534738,0.8855645153776095,0.8831424406193837,34
chained_nearest,33,s2,0.8470935305324767,0.8590231255803772,0.8357196439888773,0.8537700820545574,0.8560494914797284,0.8503311747272034,18
chained_nearest,33,s4,0.787452620408355,0.7965013528310887,0.7749845349070767,0.7978940356371383,0.7891614660749438,0.7891988019717205,10
chained_nearest,33,s8,0.6951794698262795,0.7067647662356368,0.6812487833328391,0.6983525089472555,0.7044188107440005,0.6971928678172024,6
chained_nearest,33,s16,0.593490274698749,0.6014865096576324,0.5799681685928273,0.5877667046929551,0.5968738232878886,0.5919170961860105,4
chained_nearest,33,s32,0.5049411335636446,0.5192769838454911,0.48944538601257487,0.4929234856287107,0.5165624376757058,0.5046298853452253,3
chained_nearest,33,ends,0.49807329227206926,0.5049196882352944,0.48232894479902694,0.48339607470511653,0.5117670570914622,0.49609701142059387,2
chained_nearest,33,rand1,0.5551719191526494,0.5553558619088911,0.5446805206422615,0.5551412329612735,0.5672281515560319,0.5555155372442215,3
chained_nearest,33,rand3,0.6047057569149968,0.6262749581622767,0.6172230672397908,0.6326210785446289,0.6513014820038264,0.6264252685731039,5
chained_nearest,66,s1,0.798605429156432,0.8200438599923485,0.8070024488957903,0.8102570020777463,0.8087884005169693,0.8089394281278572,67
chained_nearest,66,s2,0.7627098193329046,0.7790533332425289,0.7580830805276787,0.7714062801639799,0.7681604547252655,0.7678825935984716,34
chained_nearest,66,s4,0.6918165140590575,0.7015195144892412,0.6859403131140288,0.7031414589721665,0.6946193998803508,0.695407440102969,18
